NodeCount;PathLength;SimCnt;CompileTime;KeyGenerationTime;EncryptionTime;ExecutionTime;DecryptionTime;ReferenceExecutionTime;Mse
36;0;0.31256800048140576;3.845.043.000.001.160;2.413.745.800.004.100;3.722.465.000.464.580;12.412.482.999.934.500;24.862.130.003.384.600;8,88E+05;
36;1;0.3961829997933819;3.863.899.699.990.720;2.344.828.500.008.580;370.930.999.997.654;1.238.421.899.961.390;24.662.800.005.899.000;4,13E+06;
36;2;0.27984200005448656;3.683.654.500.036.930;2.343.308.400.031.670;3.727.331.999.471.060;1.257.851.100.035.620;2.506.644.000.277.440;1,85E+07;
36;3;0.34714600042207167;3.777.334.400.001.560;23.966.222.999.661.100;46.349.109.998.118.300;12.868.059.000.538.700;24.432.449.999.949.300;7,82E+05;
36;4;0.36605800050892867;4.105.696.499.937.030;2.299.055.900.039.090;36.340.249.998.829.600;12.501.606.000.114.400;2.432.207.000.310.880;8,41E+04;
36;5;0.3679110004668473;39.359.479.999.802.700;22.865.991.999.424.200;37.194.119.995.547.200;12.457.421.999.897.600;2.504.823.999.515.790;1,85E+07;
36;6;0.3542139993442106;4.054.522.100.068.420;2.369.866.400.022.140;3.742.687.999.874.760;12.612.418.000.571.700;2.559.984.999.606.960;7,67E+04;
36;7;0.34483400031604106;382.318.120.000.491;23.199.846.999.887.000;3.751.569.000.087.320;12.498.823.999.521.800;24.811.630.000.840.500;7,09E+05;
36;8;0.355608000063512;39.898.514.000.014.900;227.353.749.996.837;3.694.906.999.953.670;12.453.856.999.854.900;2.498.110.000.487.940;1,29E+07;
36;9;0.37671299924113555;3.853.042.200.080.380;23.769.164.999.976.000;37.212.530.005.490.400;12.404.214.000.525.800;2.473.618.999.829.340;1,12E+06;
36;10;0.3626140005508205;3.651.932.000.047.960;22.886.946.999.278.700;3.711.373.999.976.780;12.475.966.999.772.900;24.675.829.999.978.300;3,31E+07;
36;11;0.3559059996405267;3.899.478.899.984.380;23.055.157.999.806.300;36.421.649.992.917.000;12.399.956.000.081.100;24.947.780.002.548.800;3,94E+05;
36;12;0.4013740008304012;3.871.166.900.080.420;2.297.055.199.960.590;3.703.813.000.356.600;12.429.495.999.640.400;2.431.305.999.380.120;5,56E+05;
36;13;0.42336900060035987;3.958.969.100.040.120;22.928.169.999.431.700;3.694.463.999.636.350;12.394.891.000.440.100;247.157.400.008.291;5,32E+04;
36;14;0.29009600075369235;3.728.615.899.944.990;22.899.268.999.935.800;37.147.490.002.098.400;13.573.472.999.269.100;24.660.159.997.438.300;1,38E+07;
36;15;0.4377029999886872;3.894.906.700.043.060;23.071.124.000.125.500;38.213.239.995.457.100;12.439.600.999.641.600;26.466.429.999.345.500;3,60E+07;
