NodeCount;PathLength;SimCnt;CompileTime;KeyGenerationTime;EncryptionTime;ExecutionTime;DecryptionTime;ReferenceExecutionTime;Mse
36;33;0.30592399980378104;3.688.792.899.993.130;2.352.827.599.952.430;3.726.386.999.915.120;12.448.206.000.044.500;24.896.260.001.696.600;2,68E+07;
36;34;0.3178749993821839;3.902.672.900.039.760;2.297.798.600.011.440;3.689.635.999.762.680;12.373.703.999.401.100;24.290.249.994.010.000;1,20E+06;
36;35;0.3599029996621539;38.126.218.999.423.100;23.015.857.999.780.500;3.711.897.999.892.240;1.240.788.699.942.640;25.114.349.991.781.600;2,08E+07;
36;36;0.36145200010651024;374.569.010.000.414;23.009.268.000.350.800;3.694.006.999.467.090;12.267.525.999.959.600;2.473.147.000.273.450;9,71E+05;
36;37;0.3995059996668715;3.670.129.999.954.950;230.369.230.002.907;37.242.130.001.686.700;12.380.566.000.501.800;2.472.494.000.357.980;1,77E+06;
36;38;0.39313700017373776;4.036.768.699.916.130;23.358.039.000.413.500;39.277.019.996.006.800;12.529.761.999.758.100;24.843.580.004.016.900;3,37E+06;
36;39;0.4665220003516879;3.871.911.700.025.520;231.558.440.000.299;3.771.674.999.370.580;12.605.761.000.486.300;25.136.160.002.148.200;9,20E+05;
36;40;0.40185499983635964;3.638.202.000.001.910;2.306.689.600.027.310;3.731.454.999.979.170;12.427.956.999.999.800;24.901.470.005.715.900;1,20E+06;
36;41;0.42821899933187524;4.035.093.800.030.150;22.864.497.000.227.800;37.226.379.999.992.700;1.242.599.400.029.570;24.355.920.004.381.900;1,32E+07;
36;42;0.3463510001893155;3.989.035.900.031.010;22.657.558.999.526.300;3.684.721.999.889.000;12.399.332.000.313.700;24.515.059.994.882.900;2,91E+06;
36;43;0.4991850000806153;3.699.897.099.977.530;23.164.273.000.475.000;38.652.829.998.682.100;12.434.825.000.127.600;2.436.801.999.465.380;8,49E+04;
36;44;0.47358399933727924;38.089.279.999.439.800;23.242.574.000.505.500;3.734.467.999.493.060;1.247.718.300.055.560;25.033.190.004.251.000;1,78E+06;
36;45;0.4048489990964299;3.719.608.499.977.760;23.146.120.000.092.100;3.727.149.000.042.110;12.435.503.999.768.100;2.505.815.999.938.930;1,29E+06;
36;46;0.3486199993858463;38.259.009.000.285.000;22.997.473.000.032.100;3.681.981.999.761.770;12.455.312.999.918.500;2.437.429.999.190.490;8,54E+05;
36;47;0.2819559995259624;3.845.979.800.007.620;2.300.021.800.056.120;3.688.068.999.508.680;12.447.284.000.700.100;2.494.634.999.493.420;9,09E+05;
36;48;0.43159899996680906;3.695.703.100.038.370;23.105.801.000.383.500;3.713.746.000.357.780;1.243.032.399.997.900;25.110.410.006.163.800;5,21E+05;
36;49;0.49212500016437843;3.705.163.400.081.800;23.045.008.999.361.000;3.709.497.000.272.670;1.268.018.500.013.560;25.323.269.992.441.000;5,49E+04;
36;50;0.42500400013523176;4.053.570.999.985.820;22.859.783.000.058.000;37.210.090.004.009.500;12.407.270.000.039.700;27.325.569.999.447.900;4,42E+06;
36;51;0.30131300081848167;41.830.449.999.906.700;2.285.101.699.999.350;36.903.489.999.531.300;1.227.377.599.934.690;24.321.149.994.648.200;8,92E+05;
36;52;0.4655029997593374;3.680.216.199.973.070;22.788.514.999.774.600;36.406.690.005.605.900;1.247.930.599.947.720;2.431.333.000.458.830;8,08E+05;
36;53;0.3755959996851743;3.759.484.599.959.250;23.721.026.000.202.900;38.076.609.998.825.000;12.435.998.000.000.800;25.078.979.997.488.200;1,82E+07;
36;54;0.3633329997683177;36.737.378.999.532.600;2.305.521.099.970.060;3.721.338.000.104.870;1.242.655.499.936.510;26.441.850.004.630.300;9,61E+05;
36;55;0.31743499948788667;3.689.483.099.969.940;2.308.709.800.036.010;37.570.920.003.417.900;12.576.232.000.355.900;2.509.336.000.002.800;5,66E+05;
36;56;0.35550799930206267;3.886.022.000.006.050;2.306.289.900.025.140;3.722.663.000.189.640;12.446.208.999.790.500;2.439.772.000.798.250;4,76E+06;
36;57;0.481303000015032;37.576.637.000.711.300;2.327.166.000.031.860;3.762.088.999.792.460;1.245.645.400.013.010;24.751.700.002.525.400;9,77E+05;
36;58;0.43357600043236744;37.318.821.000.553.700;2.289.645.600.012.590;36.963.559.996.365.800;12.404.857.000.547.000;24.761.369.995.758.200;1,07E+07;
36;59;0.3222880004614126;38.591.764.000.557.300;23.718.241.000.096.800;3.744.157.999.790.330;12.444.844.000.128.700;24.617.750.004.836.100;2,97E+07;
36;60;0.43147700034751324;37.279.418.999.787.500;2.284.643.400.071.210;3.703.544.000.018.150;12.397.501.000.123.100;2.494.190.000.106.750;1,11E+07;
36;61;0.3668810004455736;3.654.969.400.031.400;23.464.013.999.728.100;3.713.273.999.892.400;12.450.461.000.298.600;25.150.259.998.554.200;8,92E+05;
36;62;0.3397639993636403;382.240.790.004.289;230.822.370.003.807;3.716.561.000.146.610;1.256.298.800.035.430;2.490.545.999.535.240;2,01E+07;
36;63;0.40649699985806365;3.958.740.799.953.370;22.731.273.000.317.700;37.308.959.999.791.100;12.488.431.999.372.500;2.498.986.000.318.830;6,71E+05;
36;64;0.3447360004429356;391.396.690.001.784;2.298.692.500.062.310;3.714.774.999.934.880;1.247.719.999.992.110;25.161.929.997.921.100;3,44E+06;
36;65;0.32127400027093245;3.670.104.100.001.480;22.958.731.000.471.700;37.072.989.998.705.400;12.500.888.000.431.500;2.507.934.999.812.270;4,69E+05;
36;66;0.36719800027640304;3.994.041.300.029.490;233.815.190.003.952;37.368.819.994.298.900;12.629.830.000.150.800;24.397.730.003.329.300;1,89E+07;
36;67;0.4754450001200894;3.703.721.300.007.600;22.929.908.000.151.000;3.706.096.999.849.250;12.379.866.000.628.600;26.717.589.998.952.400;5,87E+05;
36;68;0.49266200039710384;39.809.203.000.004.300;2.287.789.799.993.330;37.301.379.998.098.100;1.238.893.800.018.550;24.362.600.006.497.800;9,77E+05;
36;69;0.39819399989937665;3.760.368.799.976.270;23.004.046.000.096.400;3.740.391.999.599.520;12.496.448.999.627.300;25.131.579.996.013.800;6,56E+05;
36;70;0.3260510002291994;37.745.783.999.525.800;2.328.815.999.953.800;3.644.096.000.243.730;12.530.058.000.265.800;24.402.409.999.311.200;1,22E+07;
36;71;0.40194600023824023;3.787.738.099.981.650;2.279.600.399.924.670;36.906.750.001.435.200;12.425.027.000.062.900;25.133.540.002.570.900;6,34E+05;
36;72;0.36545599959936226;3.853.313.600.029.650;23.186.389.999.864.300;37.109.530.003.363.000;12.423.923.999.449.400;2.485.783.000.338.410;8,73E+05;
36;73;0.39843499962444184;3.878.268.100.015.700;22.970.915.999.394.400;3.771.095.000.047.350;12.483.918.999.350.800;24.899.039.999.581.800;1,19E+07;
36;74;0.4137599999012309;3.741.048.499.978.200;23.148.020.999.542.400;3.718.816.000.400.690;12.365.111.999.315.500;25.125.269.994.532.500;8,14E+05;
36;75;0.45960599982208805;37.046.422.000.457.800;2.338.695.300.022.660;3.732.215.999.662.000;12.430.251.999.830.900;25.037.149.998.752.200;8,56E+05;
36;76;0.4620099998646765;3.883.382.499.952.850;22.940.419.999.940.700;37.148.450.001.041.000;12.439.269.999.958.900;2.605.282.000.331.490;7,22E+05;
36;77;0.3625389999797335;3.667.178.999.967.290;2.342.806.699.925.850;39.850.120.001.574.300;13.160.413.000.150.500;25.184.450.005.326.600;1,19E+07;
36;78;0.49461099933978403;3.905.604.300.052.800;22.989.676.000.179.300;37.003.890.001.869.800;12.465.375.999.454.400;24.972.820.001.494.200;4,33E+07;
36;79;0.3736970002137241;36.649.517.999.649.100;2.293.200.800.068.000;38.019.749.999.875.700;12.463.844.000.194.500;2.488.772.999.640.780;7,35E+06;
36;80;0.42283599941583816;37.907.384.000.391.100;2.286.367.699.980.470;37.252.140.000.418.800;1.253.905.300.018.230;2.429.887.999.824.130;4,26E+06;
36;81;0.3497500001685694;39.707.613.000.246.000;23.098.853.999.726.900;3.719.150.000.506.480;12.450.449.999.960.200;2.502.074.999.938.480;1,26E+07;
36;82;0.37289600004442036;3.712.778.899.989.640;23.080.601.000.401.600;36.145.149.997.537.300;12.464.108.999.665.700;2.441.417.999.762.050;6,42E+05;
36;83;0.32276699948852183;3.768.386.200.044.910;23.691.360.999.691.800;36.873.700.000.796.800;12.383.217.999.740.700;2.508.020.000.277.610;1,10E+07;
36;84;0.3143339999951422;3.842.884.700.043.210;22.827.135.000.625.200;3.713.188.999.427.070;12.461.812.999.390.500;2.502.012.000.149.980;6,10E+05;
36;85;0.38687199958076235;37.242.370.000.058.100;22.970.338.999.584.700;37.033.799.999.335.300;12.455.994.999.982.000;24.404.410.005.445.200;7,78E+05;
36;86;0.3542889999152976;3.755.470.699.979.920;22.984.881.999.946.000;371.746.900.054.859;12.557.562.999.973.000;24.701.330.003.154;7,78E+05;
36;87;0.36064199957763776;3.791.499.799.990.560;2.301.809.199.980.190;3.716.017.000.442.660;12.474.137.999.561.200;2.516.595.000.088.270;1,50E+07;
36;88;0.2990279999721679;3.787.949.900.015.510;2.367.762.800.076.880;37.197.539.995.759.100;12.741.530.000.312.100;26.100.710.001.628.600;1,20E+07;
36;89;0.3269319995524711;3.896.665.599.950.210;22.878.147.000.483.200;36.677.759.999.292.900;12.546.653.000.754.300;2.429.931.999.358.810;1,35E+07;
36;90;0.4098330000488204;372.398.780.000.367;23.065.575.000.146.000;39.026.670.001.476.300;1.244.199.499.979.000;24.926.690.002.757.800;2,52E+06;
36;91;0.45640700045623817;3.908.302.499.985.430;23.044.120.999.657.000;36.802.770.000.576.800;12.446.903.000.636.600;24.443.109.996.354.900;7,62E+05;
36;92;0.44376799996825866;38.156.332.999.278.600;2.283.931.400.052.090;36.982.689.998.694.600;12.412.432.999.553.800;24.880.960.008.886.100;4,34E+06;
36;93;0.3603959994507022;37.702.112.999.795.600;2.293.872.599.966.560;3.741.649.000.403.410;12.615.450.000.339.400;2.545.674.999.964.830;2,81E+07;
36;94;0.3895760000887094;36.779.158.000.172.100;23.173.992.000.010.900;37.307.289.994.714.600;12.459.477.999.982.400;250.449.099.985.417;2,18E+05;
36;95;0.3479169999991427;3.683.969.099.984.090;2.277.589.999.994.230;36.829.209.993.811.600;12.392.059.000.376.300;24.653.179.998.495.000;9,40E+05;
36;96;0.4590210000969819;395.241.280.002.665;23.248.464.000.062.000;3.677.401.000.459.210;12.396.314.999.932.600;24.956.719.998.954.200;5,22E+05;
36;97;0.37007300034019863;4.030.053.999.940.710;229.094.559.999.794;37.041.109.999.336.100;12.958.135.999.724.600;2.507.653.999.600.730;9,30E+05;
